Product cover Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.PERSONAL ACCIDENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Emergency Road Ambulance cover,Covers expenses incurred in respect of the Medically Necessary transportation of the Insured Person through a registered ambulance service provider to a hospital,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Marriage cover for Dependent Children Marriage Allowance,We will make the payment in respect of the Insured Person’s Dependent Child (children) under the age of 25 and unmarried as on the date of occurrence,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",Name Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Marriage cover for Dependent Children,We will make the payment in respect of the Insured Person’s Dependent Child (children) under the age of 25 as on the date of occurrence,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",Duplicacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Loss of Earning cover,Payment done in case of disablement from engaging in his/her primary occupation and loses his/her source of income generation as a consequence of a Critical Illness,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Family Counselling cover,Payment done towards the psychiatric counselling of the Immediate Family Members in case of Critical Illness of the Insured person,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Family Transportation Allowance cover,Reimbursement done for expenses incurred in respect of any one Immediate Family Member of the Insured Person for transportation by one way airfare or one way first class railway fare in case of Critical Illness of the insured person,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Family Assistance Allowance cover,Reimbursement done for expenses incurred in respect of any one Immediate Family Member of the Insured Person for fooding and lodging in case of a critical illness,1000 to 50 Lacs,"Upto SI opted
or 1%-100%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. HOSPITAL CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Daily Cash cover (DCB) (Accident or Illness),"Rs 500 to Rs 50,000 (In multiples of 500) - In case of ICU hospitalization, Daily cash limit will be doubled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Daily Cash cover (DCB)  Accident Only,"Rs 500 to Rs 50,000 (In multiples of 500) - In case of ICU hospitalization, Daily cash limit will be doubled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Daily Cash cover (DCB)  Illness Only,"Rs 500 to Rs 50,000 (In multiples of 500) - In case of ICU hospitalization, Daily cash limit will be doubled.",,,New Addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Days per Policy Year limit,10 Day /15 Day/ 30 days/ 45 days/ 60 days/90 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deductible per claim,0 Day/1 day/2 Days upto 10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial waiting period,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
