1,OPD Minor Procedure,,,,,,,,,,,
2, Diabetes & Metabolic Monitoring Devices,,,,,,,,,,,
,Glucometer,,,,,,,,,,,
,Continuous Glucose Monitoring (CGM) System,,,,,,,,,,,
,Insulin Pump,,,,,,,,,,,
,Insulin Pen with cartridges,,,,,,,,,,,
,Ketone Testing Meter,,,,,,,,,,,
,HbA1c Home Monitoring Device (if prescribed),,,,,,,,,,,
,Lancets and Test Strips (where coverage includes consumables),,,,,,,,,,,
3,Neurological & Sleep‑Related Devices,,,,,,,,,,,
,EEG Monitoring Device (Portable / Ambulatory),,,,,,,,,,,
,Sleep Apnea Monitoring Device,,,,,,,,,,,
,Actigraphy Device (Sleep/Movement Monitoring),,,,,,,,,,,
4,Orthopaedic & Mobility‑Assistance Devices,,,,,,,,,,,
,Wheelchair (Manual / Motorized),,,,,,,,,,,
,Walker / Rollator,,,,,,,,,,,
,Walking Cane / Crutches,,,,,,,,,,,
,"Orthopaedic Braces (Knee, Back, Cervical, Wrist, Ankle, Shoulder)",,,,,,,,,,,
,Fracture Support / Splints,,,,,,,,,,,
,Prosthetic Limbs,,,,,,,,,,,
,Orthotic Insoles / Foot Supports,,,,,,,,,,,
5,Renal & Urological Monitoring Devices,,,,,,,,,,,
,"Home Dialysis Equipment (Peritoneal dialysis kits, where applicable)",,,,,,,,,,,
,Urinary Catheter (including Foley’s catheter),,,,,,,,,,,
,Urine Output Monitoring Bags,,,,,,,,,,,
,"Bladder Scanner (portable, where prescribed)",,,,,,,,,,,
6,Gastrointestinal & Nutrition‑Related Devices,,,,,,,,,,,
,Feeding Pump,,,,,,,,,,,
,"Enteral Feeding Tubes (NG Tube, PEG Tube)",,,,,,,,,,,
,Gastrostomy / Jejunostomy accessories,,,,,,,,,,,
7,Pediatric & Neonatal Monitoring Devices,,,,,,,,,,,
,Infant Apnea Monitor,,,,,,,,,,,
,Pediatric Pulse Oximeter,,,,,,,,,,,
,Growth and Vital Monitoring Devices (as prescribed),,,,,,,,,,,
8,Other Essential Medical Monitoring Devices,,,,,,,,,,,
,Body Temperature Monitoring Device (Digital Thermometer),,,,,,,,,,,
,Infusion Pump,,,,,,,,,,,
,Syringe Pump,,,,,,,,,,,
,Patient Monitoring System (Multi‑parameter monitors for home care),,,,,,,,,,,
,"Pressure Ulcer Prevention Devices (Air mattress, ripple mattress)",,,,,,,,,,,
